Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,People < 18 Years Old,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cpop18b,TimeFrame,GeoVintage,Source,Location
Census Tract,39061000200,OH,39061000200,39061000200,240,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000700,OH,39061000700,39061000700,115,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000900,OH,39061000900,39061000900,253,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001000,OH,39061001000,39061001000,257,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001100,OH,39061001100,39061001100,251,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001600,OH,39061001600,39061001600,48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001700,OH,39061001700,39061001700,237,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001800,OH,39061001800,39061001800,122,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001900,OH,39061001900,39061001900,103,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002000,OH,39061002000,39061002000,56,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002200,OH,39061002200,39061002200,259,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002300,OH,39061002300,39061002300,222,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002500,OH,39061002500,39061002500,128,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002600,OH,39061002600,39061002600,78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002700,OH,39061002700,39061002700,130,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002800,OH,39061002800,39061002800,106,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002901,OH,39061002901,39061002901,42,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002902,OH,39061002902,39061002902,142,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003000,OH,39061003000,39061003000,70,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003200,OH,39061003200,39061003200,149,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003300,OH,39061003300,39061003300,164,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003600,OH,39061003600,39061003600,131,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003700,OH,39061003700,39061003700,192,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003800,OH,39061003800,39061003800,467,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003900,OH,39061003900,39061003900,203,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004000,OH,39061004000,39061004000,521,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004100,OH,39061004100,39061004100,188,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004200,OH,39061004200,39061004200,266,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004602,OH,39061004602,39061004602,1207,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004603,OH,39061004603,39061004603,882,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004604,OH,39061004604,39061004604,1052,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004605,OH,39061004605,39061004605,348,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004703,OH,39061004703,39061004703,560,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004800,OH,39061004800,39061004800,945,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004900,OH,39061004900,39061004900,1166,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005000,OH,39061005000,39061005000,831,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005100,OH,39061005100,39061005100,468,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005200,OH,39061005200,39061005200,442,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005301,OH,39061005301,39061005301,333,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005302,OH,39061005302,39061005302,336,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005500,OH,39061005500,39061005500,528,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005600,OH,39061005600,39061005600,1104,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005701,OH,39061005701,39061005701,848,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005702,OH,39061005702,39061005702,517,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005800,OH,39061005800,39061005800,795,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005900,OH,39061005900,39061005900,234,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006000,OH,39061006000,39061006000,965,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006100,OH,39061006100,39061006100,821,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006300,OH,39061006300,39061006300,1004,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006400,OH,39061006400,39061006400,776,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006501,OH,39061006501,39061006501,202,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006502,OH,39061006502,39061006502,581,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006600,OH,39061006600,39061006600,142,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006800,OH,39061006800,39061006800,1163,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006900,OH,39061006900,39061006900,1117,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007000,OH,39061007000,39061007000,362,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007100,OH,39061007100,39061007100,505,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007200,OH,39061007200,39061007200,199,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007300,OH,39061007300,39061007300,515,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007400,OH,39061007400,39061007400,308,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007500,OH,39061007500,39061007500,211,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007700,OH,39061007700,39061007700,1359,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008000,OH,39061008000,39061008000,3304,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008100,OH,39061008100,39061008100,486,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008201,OH,39061008201,39061008201,1049,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008202,OH,39061008202,39061008202,689,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008300,OH,39061008300,39061008300,1103,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008400,OH,39061008400,39061008400,563,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008501,OH,39061008501,39061008501,1173,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008502,OH,39061008502,39061008502,1444,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008601,OH,39061008601,39061008601,553,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008800,OH,39061008800,39061008800,924,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009200,OH,39061009200,39061009200,1352,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009300,OH,39061009300,39061009300,1441,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009400,OH,39061009400,39061009400,552,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009500,OH,39061009500,39061009500,569,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009600,OH,39061009600,39061009600,1107,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009700,OH,39061009700,39061009700,1752,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009800,OH,39061009800,39061009800,712,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009901,OH,39061009901,39061009901,1132,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009902,OH,39061009902,39061009902,1160,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010002,OH,39061010002,39061010002,1895,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010003,OH,39061010003,39061010003,2150,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010004,OH,39061010004,39061010004,1115,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010005,OH,39061010005,39061010005,389,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010100,OH,39061010100,39061010100,775,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010201,OH,39061010201,39061010201,1580,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010202,OH,39061010202,39061010202,522,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010300,OH,39061010300,39061010300,408,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010400,OH,39061010400,39061010400,169,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010500,OH,39061010500,39061010500,434,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010600,OH,39061010600,39061010600,276,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010700,OH,39061010700,39061010700,355,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010900,OH,39061010900,39061010900,354,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061011000,OH,39061011000,39061011000,882,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061011100,OH,39061011100,39061011100,887,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020401,OH,39061020401,39061020401,1601,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020403,OH,39061020403,39061020403,1423,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020404,OH,39061020404,39061020404,924,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020501,OH,39061020501,39061020501,793,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020502,OH,39061020502,39061020502,1189,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020504,OH,39061020504,39061020504,735,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020505,OH,39061020505,39061020505,853,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020601,OH,39061020601,39061020601,1517,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020603,OH,39061020603,39061020603,1130,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020604,OH,39061020604,39061020604,887,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020701,OH,39061020701,39061020701,1437,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020705,OH,39061020705,39061020705,802,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020707,OH,39061020707,39061020707,846,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020741,OH,39061020741,39061020741,753,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020742,OH,39061020742,39061020742,1094,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020762,OH,39061020762,39061020762,976,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020763,OH,39061020763,39061020763,526,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020764,OH,39061020764,39061020764,1459,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020802,OH,39061020802,39061020802,1506,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020811,OH,39061020811,39061020811,1134,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020812,OH,39061020812,39061020812,902,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020901,OH,39061020901,39061020901,1024,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061020902,OH,39061020902,39061020902,1669,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021001,OH,39061021001,39061021001,598,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021002,OH,39061021002,39061021002,1090,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021003,OH,39061021003,39061021003,799,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021101,OH,39061021101,39061021101,955,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021102,OH,39061021102,39061021102,2065,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021201,OH,39061021201,39061021201,476,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021202,OH,39061021202,39061021202,1446,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021302,OH,39061021302,39061021302,1073,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021303,OH,39061021303,39061021303,1299,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021304,OH,39061021304,39061021304,875,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021401,OH,39061021401,39061021401,874,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021421,OH,39061021421,39061021421,1038,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021422,OH,39061021422,39061021422,907,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021501,OH,39061021501,39061021501,995,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021504,OH,39061021504,39061021504,1225,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021505,OH,39061021505,39061021505,715,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021506,OH,39061021506,39061021506,1083,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021508,OH,39061021508,39061021508,1260,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021509,OH,39061021509,39061021509,2827,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021571,OH,39061021571,39061021571,620,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021572,OH,39061021572,39061021572,933,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021602,OH,39061021602,39061021602,1144,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021603,OH,39061021603,39061021603,438,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021604,OH,39061021604,39061021604,994,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021701,OH,39061021701,39061021701,237,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021702,OH,39061021702,39061021702,1313,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021801,OH,39061021801,39061021801,1147,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021802,OH,39061021802,39061021802,1245,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061021900,OH,39061021900,39061021900,152,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022000,OH,39061022000,39061022000,910,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022101,OH,39061022101,39061022101,788,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022102,OH,39061022102,39061022102,1429,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022200,OH,39061022200,39061022200,745,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022301,OH,39061022301,39061022301,1517,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022302,OH,39061022302,39061022302,784,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022400,OH,39061022400,39061022400,441,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022500,OH,39061022500,39061022500,845,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022601,OH,39061022601,39061022601,1892,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022602,OH,39061022602,39061022602,888,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061022700,OH,39061022700,39061022700,1308,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023001,OH,39061023001,39061023001,812,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023002,OH,39061023002,39061023002,736,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023100,OH,39061023100,39061023100,630,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023201,OH,39061023201,39061023201,489,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023210,OH,39061023210,39061023210,1198,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023222,OH,39061023222,39061023222,477,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023300,OH,39061023300,39061023300,1163,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023400,OH,39061023400,39061023400,874,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023501,OH,39061023501,39061023501,1113,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023521,OH,39061023521,39061023521,806,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023522,OH,39061023522,39061023522,1231,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023600,OH,39061023600,39061023600,745,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023701,OH,39061023701,39061023701,557,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023702,OH,39061023702,39061023702,392,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023800,OH,39061023800,39061023800,909,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023901,OH,39061023901,39061023901,976,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061023902,OH,39061023902,39061023902,1276,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024001,OH,39061024001,39061024001,1031,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024002,OH,39061024002,39061024002,596,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024100,OH,39061024100,39061024100,2224,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024200,OH,39061024200,39061024200,565,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024301,OH,39061024301,39061024301,1038,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024303,OH,39061024303,39061024303,1882,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024322,OH,39061024322,39061024322,3274,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024323,OH,39061024323,39061024323,1011,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024324,OH,39061024324,39061024324,952,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024401,OH,39061024401,39061024401,1081,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024402,OH,39061024402,39061024402,771,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024700,OH,39061024700,39061024700,393,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024800,OH,39061024800,39061024800,998,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024901,OH,39061024901,39061024901,159,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024903,OH,39061024903,39061024903,1572,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061024904,OH,39061024904,39061024904,935,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025001,OH,39061025001,39061025001,1770,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025002,OH,39061025002,39061025002,1952,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025101,OH,39061025101,39061025101,1392,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025102,OH,39061025102,39061025102,1907,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025103,OH,39061025103,39061025103,1457,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025200,OH,39061025200,39061025200,598,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025300,OH,39061025300,39061025300,621,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025401,OH,39061025401,39061025401,225,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025402,OH,39061025402,39061025402,459,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025500,OH,39061025500,39061025500,828,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025600,OH,39061025600,39061025600,506,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025700,OH,39061025700,39061025700,689,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061025800,OH,39061025800,39061025800,559,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026001,OH,39061026001,39061026001,1377,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026002,OH,39061026002,39061026002,2211,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026102,OH,39061026102,39061026102,576,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026103,OH,39061026103,39061026103,1026,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026104,OH,39061026104,39061026104,638,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026200,OH,39061026200,39061026200,644,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026300,OH,39061026300,39061026300,380,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026400,OH,39061026400,39061026400,995,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026500,OH,39061026500,39061026500,206,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026600,OH,39061026600,39061026600,161,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026700,OH,39061026700,39061026700,434,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026800,OH,39061026800,39061026800,114,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061026900,OH,39061026900,39061026900,1001,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027000,OH,39061027000,39061027000,672,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027100,OH,39061027100,39061027100,1088,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027200,OH,39061027200,39061027200,474,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027300,OH,39061027300,39061027300,850,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027400,OH,39061027400,39061027400,871,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027500,OH,39061027500,39061027500,738,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027600,OH,39061027600,39061027600,193,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061027700,OH,39061027700,39061027700,835,2018-2022,2022,Census,"Hamilton (County, 2022)"
